status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,target
checking account between 0 and 200 DM,48,existing credits paid back duly till now,others,5381,unknown or no savings account,unemployed,3,male single,none,4,unknown or no property,40,bank,for free,1,unemployed or unskilled non-resident,1,telephone registered under customer name,yes,good credit
no checking account,24,existing credits paid back duly till now,furniture or equipment,5511,savings between 100 and 500 DM,employed between 1 and 4 years,4,male single,none,1,car or other property,25,stores,own,1,skilled employee or official,1,no telephone,yes,good credit
checking account above 200 DM or salary assignment for at least 1 year,24,existing credits paid back duly till now,furniture or equipment,3749,savings below 100 DM,employed less than 1 year,2,"female divorced, separated, or married",none,4,car or other property,26,none,own,1,skilled employee or official,1,no telephone,yes,good credit
checking account between 0 and 200 DM,12,existing credits paid back duly till now,car (new),685,savings below 100 DM,employed between 4 and 7 years,2,male married or widowed,none,3,car or other property,25,bank,own,1,unskilled resident,1,no telephone,yes,bad credit
checking account above 200 DM or salary assignment for at least 1 year,4,existing credits paid back duly till now,car (new),1494,unknown or no savings account,employed less than 1 year,1,male single,none,2,real estate,29,none,own,1,unskilled resident,2,no telephone,no,good credit
checking account below 0 DM,36,all credits at this bank paid back duly,furniture or equipment,2746,savings below 100 DM,employed 7 years or more,4,male single,none,4,car or other property,31,bank,own,1,skilled employee or official,1,no telephone,yes,bad credit
checking account below 0 DM,12,existing credits paid back duly till now,furniture or equipment,708,savings below 100 DM,employed between 1 and 4 years,2,male single,guarantor,3,building society savings agreement or life insurance,38,none,own,1,unskilled resident,2,no telephone,yes,good credit
checking account between 0 and 200 DM,24,existing credits paid back duly till now,furniture or equipment,4351,unknown or no savings account,employed between 1 and 4 years,1,"female divorced, separated, or married",none,4,building society savings agreement or life insurance,48,none,own,1,unskilled resident,1,telephone registered under customer name,yes,good credit
no checking account,12,critical account or other credits existing,education,701,savings below 100 DM,employed between 1 and 4 years,4,male single,none,2,car or other property,32,none,own,2,skilled employee or official,1,no telephone,yes,good credit
checking account below 0 DM,15,delay in paying off in the past,furniture or equipment,3643,savings below 100 DM,employed 7 years or more,1,"female divorced, separated, or married",none,4,building society savings agreement or life insurance,27,none,own,2,unskilled resident,1,no telephone,yes,good credit
checking account between 0 and 200 DM,30,critical account or other credits existing,car (new),4249,savings below 100 DM,unemployed,4,male married or widowed,none,2,car or other property,28,none,own,2,"management, self-employed, or highly qualified",1,no telephone,yes,bad credit
checking account below 0 DM,24,existing credits paid back duly till now,radio or television,1938,savings below 100 DM,employed less than 1 year,4,male divorced or separated,none,3,building society savings agreement or life insurance,32,none,own,1,skilled employee or official,1,no telephone,yes,bad credit
checking account below 0 DM,24,existing credits paid back duly till now,car (used),2910,savings below 100 DM,employed between 4 and 7 years,2,male single,none,1,unknown or no property,34,none,for free,1,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,good credit
checking account below 0 DM,18,existing credits paid back duly till now,furniture or equipment,2659,savings above 1000 DM,employed between 1 and 4 years,4,male single,none,2,car or other property,28,none,own,1,skilled employee or official,1,no telephone,yes,good credit
no checking account,18,critical account or other credits existing,car (new),1028,savings below 100 DM,employed between 1 and 4 years,4,"female divorced, separated, or married",none,3,real estate,36,none,own,2,skilled employee or official,1,no telephone,yes,good credit
checking account below 0 DM,8,critical account or other credits existing,car (new),3398,savings below 100 DM,employed between 4 and 7 years,1,male single,none,4,real estate,39,none,own,2,unskilled resident,1,no telephone,no,good credit
no checking account,12,critical account or other credits existing,furniture or equipment,5801,unknown or no savings account,employed 7 years or more,2,male single,none,4,building society savings agreement or life insurance,49,none,rent,1,skilled employee or official,1,telephone registered under customer name,yes,good credit
no checking account,24,existing credits paid back duly till now,car (new),1525,savings above 1000 DM,employed between 4 and 7 years,4,"female divorced, separated, or married",none,3,car or other property,34,none,own,1,skilled employee or official,2,telephone registered under customer name,yes,good credit
checking account above 200 DM or salary assignment for at least 1 year,36,existing credits paid back duly till now,radio or television,4473,savings below 100 DM,employed 7 years or more,4,male single,none,2,car or other property,31,none,own,1,skilled employee or official,1,no telephone,yes,good credit
checking account between 0 and 200 DM,6,existing credits paid back duly till now,radio or television,1068,savings below 100 DM,employed 7 years or more,4,male single,none,4,car or other property,28,none,own,1,skilled employee or official,2,no telephone,yes,good credit
checking account below 0 DM,24,critical account or other credits existing,car (used),6615,savings below 100 DM,unemployed,2,male single,none,4,unknown or no property,75,none,for free,2,"management, self-employed, or highly qualified",1,telephone registered under customer name,yes,good credit
no checking account,18,critical account or other credits existing,education,1864,savings between 100 and 500 DM,employed between 1 and 4 years,4,"female divorced, separated, or married",none,2,real estate,30,none,own,2,skilled employee or official,1,no telephone,yes,bad credit
checking account between 0 and 200 DM,60,existing credits paid back duly till now,car (new),7408,savings between 100 and 500 DM,employed less than 1 year,4,"female divorced, separated, or married",none,2,building society savings agreement or life insurance,24,none,own,1,"management, self-employed, or highly qualified",1,no telephone,yes,bad credit
